"Expert","Family","Genus","Species","match_to_tree","Major.Group","Minor.Group","fm_scoring_fruit","seed.min","seed.max","fm_scoring_seed_number","seed.length.min","seed.length.max","seed.width.min","seed.width.max","fm_scoring_pollination1","fm_scoring_pollination2","Corolla.diameter..min...max...prevalent.","Corolla.diameter.min","Corolla.diameter.max","fm_scoring_corolla_diam","Hypanthium.length..min...max...prevalent.","Family.y","Genus.y","Species.y","Genus.b"
"Fabian Michelangeli","Melastomataceae","Microlepis","oleaefolia","Melastomataceae_Microlepis","Melastomatoideae","Microlicieae","dry",100,100,"100",0.4,0.6,NA,NA,"insects","biotic","6; 14",NA,NA,NA,"3; 6.5","Melastomataceae","Microlepis","oleaefolia","Microlepis"
"Fabian Michelangeli","Melastomataceae","Microlicia","cordata","Melastomataceae_Microlicia","Melastomatoideae","Microlicieae","dry",100,100,"100",0.4,0.8,NA,NA,"insects","biotic","3.5; 4.5",NA,NA,NA,"2.5","Melastomataceae","Microlicia","cordata","Microlicia"
"Peter Wilson","Myrtaceae","Micromyrtus","obovata","Myrtaceae_Micromyrtus","Chamelaucieae","Micromyrtinae","dry",1,1,"",1.2,1.2,NA,NA,NA,NA,"4–5 mm",NA,NA,NA,"1.2–1.5 mm","Myrtaceae","Micromyrtus","obovata","Micromyrtus"
"Peter Wilson","Myrtaceae","Mitrantia","bilocularis","Myrtaceae_Mitrantia","Kanieae","","dry",1,2,"",6,8,NA,NA,NA,NA," to 2.5 mm",NA,NA,NA,"1.5–2.5 mm (excluding sepals 1.5 mm) [short hypanthium = male flower]","Myrtaceae","Mitrantia","bilocularis","Mitrantia"
"Fabian Michelangeli","Melastomataceae","Monochaetum","lineatum","Melastomataceae_Monochaetum","Melastomatoideae","Melastomateae","dry",100,100,"100",0.4,0.45,NA,NA,"insects","biotic","8.5; 11",NA,NA,NA,"4.5; 6","Melastomataceae","Monochaetum","lineatum","Monochaetum"
"Fabian Michelangeli","Melastomataceae","Monolena","primuliflora","Melastomataceae_Monolena","Melastomatoideae","Trioleneae","dry",100,100,"100",0.9,0.9,0.9,0.9,"insects","biotic","15; 24",NA,NA,NA,"2.5; 4","Melastomataceae","Monolena","primuliflora","Monolena"
"Fabian Michelangeli","Melastomataceae","Mouriri","gleasoniana","Melastomataceae_Mouriri","Olisbeoideae","Olisbeoideae-NW","fleshy",1,5,"3",8,9,NA,NA,"insects","biotic","3.5; 5.7",NA,NA,NA,"3.5; 5","Melastomataceae","Mouriri","gleasoniana","Mouriri"
NA,NA,NA,NA,"Myrtaceae_Myrceugenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Myrtaceae","Myrceugenia","alpigena","Myrceugenia"
NA,NA,NA,NA,"Myrtaceae_Myrcia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Myrtaceae","Myrcia","tomentosa","Myrcia"
NA,NA,NA,NA,"Myrtaceae_Myrcianthes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Myrtaceae","Myrcianthes","fragrans","Myrcianthes"
"Thiago Flores","Myrtaceae","Myrciaria","disticha","Myrtaceae_Myrciaria","Myrteae","Pliniinae","Fleshy",1,2,"1.5",3,15,2,10,"insects","biotic","Tetramery",NA,NA,NA,"0,5-3,5 mm;  prevalent 1,5-2,5 mm","Myrtaceae","Myrciaria","disticha","Myrciaria"
"Fabian Michelangeli","Melastomataceae","Myriaspora","egensis","Melastomataceae_Myriaspora","Melastomatoideae","Henrietteeae","fleshy",100,100,"100",0.4,0.5,NA,NA,"insects","biotic","8; 12",NA,NA,NA,"7","Melastomataceae","Myriaspora","egensis","Myriaspora"
NA,NA,NA,NA,"Myrtaceae_Myrrhinium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Myrtaceae","Myrrhinium","atropurpureum","Myrrhinium"
NA,NA,NA,NA,"Myrtaceae_Myrtastrum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Myrtaceae","Myrtastrum","rufopunctatum","Myrtastrum"
NA,NA,NA,NA,"Myrtaceae_Myrtella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Myrtaceae","Myrtella","beccarii","Myrtella"
NA,NA,NA,NA,"Myrtaceae_Myrteola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Myrtaceae","Myrteola","nummularia","Myrteola"
"Karinne Valdemarin","Myrtaceae","Myrtus","communis","Myrtaceae_Myrtus","Myrteae","Myrtinae","fleshy",10,12,"11",2,4,NA,NA,"insects","biotic","?",NA,NA,NA,"absent","Myrtaceae","Myrtus","communis","Myrtus"
"Fabian Michelangeli","Melastomataceae","Necranium","gigantophyllum","Melastomataceae_Necramium","Melastomatoideae","Miconieae","fleshy",100,100,"100",0.5,0.62,NA,NA,"insects","biotic","2.3; 2.5",NA,NA,NA,"2","Melastomataceae","Necranium","gigantophyllum","Necramium"
"Peter Wilson","Myrtaceae","Neofabricia","myrtifolia","Myrtaceae_Neofabricia","Leptospermeae","","dry",8,12,"",2,2.5,NA,NA,"insects","biotic","22–28 mm",NA,NA,NA,"4–5 mm","Myrtaceae","Neofabricia","myrtifolia","Neofabricia"
"Peter Hoch","Onagraceae","Neoholmgrenia","andina","Onagraceae_Neoholmgrenia","Subfam. Onagroideae","Tribe Onagreae","dry",32,80,"56",0.7,1.3,NA,NA,"insects","biotic","2; 10; 7",2,10,6,"1.5-2/ 0.8-2 (only 2 sp.)","Onagraceae","Neoholmgrenia","andina","Neoholmgrenia"
"Aline Stadnik","Myrtaceae","Neomitranthes","cordifolia","Myrtaceae_Neomitranthes","Myrteae","Siphoneugena","fleshy",1,4,"2.5",NA,NA,NA,NA,"insects","biotic","0.5 - 2,5 mm",0.5,2.5,1.5,"1 - 4,5 mm","Myrtaceae","Neomitranthes","cordifolia","Neomitranthes"
"Fabian Michelangeli","Melastomataceae","Nepsera","aquatica","Melastomataceae_Nepsera","Melastomatoideae","Marcetieae","dry",100,100,"100",0.8,0.9,NA,NA,"insects","biotic","4.5; 7",NA,NA,NA,"1.8; 2","Melastomataceae","Nepsera","aquatica","Nepsera"
"Fabian Michelangeli","Melastomataceae","Noterophila","bivalvis","Melastomataceae_Noterophila","Melastomatoideae","Marcetieae","dry",100,100,"100",0.5,0.75,NA,NA,"insects","biotic","6; 12",NA,NA,NA,"2.5; 4","Melastomataceae","Noterophila","bivalvis","Noterophila"
"Peter Wilson","Myrtaceae","Ochrosperma","lineare","Myrtaceae_Ochrosperma","Chamelaucieae","Ochrospermatinae","dry",3,3,"",1.3,1.3,NA,NA,"insects","biotic","c. 2.5 mm",NA,NA,NA,"1–1.5 mm","Myrtaceae","Ochrosperma","lineare","Ochrosperma"
"Fabian Michelangeli","Melastomataceae","Ochthephilus","repentinus","Melastomataceae_Ochthephilus","Melastomatoideae","Eriocnemeae","dry",NA,NA,NA,NA,NA,NA,NA,"insects","biotic","18.5; 19.5",NA,NA,NA,"4.5","Melastomataceae","Ochthephilus","repentinus","Ochthephilus"
NA,NA,NA,NA,"Myrtaceae_Octamyrtus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Myrtaceae","Octamyrtus","pleiopetala","Octamyrtus"
"Peter Hoch","Onagraceae","Oenothera","glazioviana","Onagraceae_Oenothera","Subfam. Onagroideae","Tribe Onagreae","dry",1,200,"100.5",0.5,8,NA,NA,"insects","biotic","3; 120; c. 40",3,120,61.5,"1; 265; ?c. 50","Onagraceae","Oenothera","glazioviana","Oenothera"
"Fabian Michelangeli","Penaeaceae","Olinia","","Penaeaceae_Olinia","","","fleshy",1,1,"1",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","Penaeaceae","Olinia","","Olinia"
"Fabian Michelangeli","Melastomataceae","Opisthocentra","clidemioides","Melastomataceae_Opisthocentra","Melastomatoideae","Sonerileae","dry",100,100,"100",0.5,0.7,NA,NA,"insects","biotic","7; 9",NA,NA,NA,"8; 9","Melastomataceae","Opisthocentra","clidemioides","Opisthocentra"
"Darin Penneys","Melastomataceae","Osbeckia","stellata","Melastomataceae_Osbeckia","Melastomatoideae","Melastomeae-OW","dry",100,100,"100",0.35,0.9,NA,NA,"insects","biotic","11; 65; 40",NA,NA,NA,"","Melastomataceae","Osbeckia","stellata","Osbeckia"
"Fabian Michelangeli","Melastomataceae","Ossaea","amygdaloides","Melastomataceae_Ossaea","Melastomatoideae","Miconieae","fleshy",100,100,"100",0.8,1.2,NA,NA,"insects","biotic","2.5; 5",NA,NA,NA,"4.5; 7","Melastomataceae","Ossaea","amygdaloides","Ossaea"
"Peter Wilson","Myrtaceae","Oxymyrrhine","gracilis","Myrtaceae_Oxymyrrhine","Chamelaucieae","Hysterobaeckeinae","dry",NA,NA,"",0.6,0.8,NA,NA,"insects","biotic","6–10 mm",NA,NA,NA,"1.6–2.5 mm long","Myrtaceae","Oxymyrrhine","gracilis","Oxymyrrhine"
"Darin Penneys","Melastomataceae","Oxyspora","cordata","Melastomataceae_Oxyspora","Melastomatoideae","Sonerileae","dry",100,100,"100",0.7,1,NA,NA,"insects","biotic","3; 25; 9",NA,NA,NA,"","Melastomataceae","Oxyspora","cordata","Oxyspora"
"Fabian Michelangeli","Melastomataceae","Pachyanthus","moensis","Melastomataceae_Pachyanthus","Melastomatoideae","Miconieae","fleshy",20,24,"22",1.8,2,NA,NA,"insects","biotic","3; 4.5",NA,NA,NA,"2.5","Melastomataceae","Pachyanthus","moensis","Pachyanthus"
"Fabian Michelangeli","Melastomataceae","Pachyloma","huberioides","Melastomataceae_Pachyloma","Melastomatoideae","Rhexieae","dry",100,100,"100",0.9,1,NA,NA,"insects","biotic","15; 20",NA,NA,NA,"6; 12","Melastomataceae","Pachyloma","huberioides","Pachyloma"
"Shirley Graham","Lythraceae","Pehria","compacta","Lythraceae_Pehria","","","dry",50,50,"50",0.7,0.9,0.3,0.5,NA,NA,"5.0-6.0 mm",NA,NA,NA,"6.5-7.5 mm","Lythraceae","Pehria","compacta","Pehria"
"Shirley Graham","Lythraceae","Pemphis","acidula","Lythraceae_Pemphis","","","dry",15,20,"17.5",2.5,3,1.7,2,"vertebrates","biotic","7.0-7.5 mm",NA,NA,NA,"5-6 mm","Lythraceae","Pemphis","acidula","Pemphis"
"Fabian Michelangeli","Penaeaceae","Penaea","mucronata","Penaeaceae_Penaea","","","dry",NA,NA,NA,2,2.2,NA,NA,NA,NA,"n/a",NA,NA,NA,"5; 7","Penaeaceae","Penaea","mucronata","Penaea"
"Peter Wilson","Myrtaceae","Pericalymma","spongiocaule","Myrtaceae_Pericalymma","Leptospermeae","","dry",3,3,"",1.2,2,NA,NA,"insects","biotic","8–13 mm ",NA,NA,NA,"3–4 mm (excle. Sepals 1–2.5 mm)","Myrtaceae","Pericalymma","spongiocaule","Pericalymma"
"Fabian Michelangeli","Melastomataceae","Phainantha","laxiflora","Melastomataceae_Phainantha","Melastomatoideae","Sonerileae","dry",100,100,"100",2,2,2,2,"insects","biotic","6; 7",NA,NA,NA,"6","Melastomataceae","Phainantha","laxiflora","Phainantha"
"Darin Penneys","Melastomataceae","Phyllagathis","elliptica","Melastomataceae_Phyllagathis","Melastomatoideae","Sonerileae","dry",100,100,"100",0.3,2,NA,NA,"insects","biotic","3; 39; 20",NA,NA,NA,"","Melastomataceae","Phyllagathis","elliptica","Phyllagathis"
"Shirley Graham","Lythraceae","Physocalymma","scaberrimum","Lythraceae_Physocalymma","","","dry",50,50,"50",3.2,4.2,2.7,4,NA,NA,"11-15 mm",NA,NA,NA,"10-13 mm","Lythraceae","Physocalymma","scaberrimum","Physocalymma"
"Peter Wilson","Myrtaceae","Pileanthus","limacis","Myrtaceae_Pileanthus","Chamelaucieae","Chamelauciinae","dry",1,1,"",NA,2,NA,NA,"insects","biotic","10–12 mm",NA,NA,NA,"4.5–5 mm","Myrtaceae","Pileanthus","limacis","Pileanthus"
NA,NA,NA,NA,"Myrtaceae_Pilidiostigma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Myrtaceae","Pilidiostigma","tropicum","Pilidiostigma"
"Fabian Michelangeli","Melastomataceae","Pilocosta","oerstedii","Melastomataceae_Pilocosta","Melastomatoideae","Melastomateae","dry",100,100,"100",0.5,0.5,0.5,0.5,"insects","biotic","7; 12",NA,NA,NA,"4.5; 6","Melastomataceae","Pilocosta","oerstedii","Pilocosta"
"Karinne Valdemarin","Myrtaceae","Pimenta","pseudocaryophyllus","Myrtaceae_Pseudocaryophyllus","Myrteae","Pimentinae","fleshy",1,3,"2",4,8,NA,NA,"insects","biotic","?",NA,NA,NA,"absent","Myrtaceae","Pimenta","pseudocaryophyllus","Pseudocaryophyllus"
"Fabian Michelangeli","Melastomataceae","Pleiochiton","blepharodes","Melastomataceae_Pleiochiton","Melastomatoideae","Miconieae","fleshy",150,150,"150",0.6,0.9,NA,NA,"insects","biotic","4; 8",NA,NA,NA,"2.7; 4.5","Melastomataceae","Pleiochiton","blepharodes","Pleiochiton"
"Fabian Michelangeli","Melastomataceae","Pleroma","angustifolium","Melastomataceae_Pleroma","Melastomatoideae","Melastomateae","dry",100,100,"100",0.6,0.9,NA,NA,"insects","biotic","1.5; 2",NA,NA,NA,"4.5","Melastomataceae","Pleroma","angustifolium","Pleroma"
"Darin Penneys","Melastomataceae","Plethiandra","hookeri","Melastomataceae_Plethiandra","Melastomatoideae","Sonerileae","dry",100,100,"100",0.5,1,NA,NA,"insects","biotic","9; 23; 13",NA,NA,NA,"","Melastomataceae","Plethiandra","hookeri","Plethiandra"
"Peter Wilson","Myrtaceae","Pleurocalyptus","pancheri","Myrtaceae_Pleurocalyptus","Xanthostemoneae","","dry",NA,NA,"",4,5,NA,NA,NA,NA,"30–45 mm",NA,NA,NA,"11–15 mm","Myrtaceae","Pleurocalyptus","pancheri","Pleurocalyptus"
"Shirley Graham","Lythraceae","Pleurophora","anomala","Lythraceae_Pleurophora","","","dry",3,100,"51.5",0.6,1,0.4,0.5,"insects","biotic","2-4 mm",NA,NA,NA,"4-16 mm","Lythraceae","Pleurophora","anomala","Pleurophora"
"Aline Stadnik","Myrtaceae","Plinia","silvestris","Myrtaceae_Plinia","Myrteae","Myrciariopsis","fleshy",1,2,"1.5",NA,NA,NA,NA,"insects","biotic","0.8 - 4 mm ",0.8,4,2.4,"1.0 - 2.5 mm","Myrtaceae","Plinia","silvestris","Plinia"
"Fabian Michelangeli","Melastomataceae","Poteranthera","pussila","Melastomataceae_Potheranthera","Melastomatoideae","Microlicieae","dry",50,50,"50",0.8,0.8,0.8,0.8,"insects","biotic","3",NA,NA,NA,"1","Melastomataceae","Poteranthera","pussila","Potheranthera"
NA,NA,NA,NA,"Myrtaceae_Pseudanamomis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Myrtaceae","Pseudanamomis","umbellulifera","Pseudanamomis"
"Fabian Michelangeli","Melastomataceae","Pseudoernestia","glandulosa","Melastomataceae_Pseudoernestia","Melastomatoideae","Marcetieae","dry",50,50,"50",0.8,0.8,0.8,0.8,"insects","biotic","5; 8",NA,NA,NA,"2.7; 3.3","Melastomataceae","Pseudoernestia","glandulosa","Pseudoernestia"
"Carolyn Proença","Myrtaceae","Psidium","","Myrtaceae_Psidium","Myrteae","Pimentinae","fleshy",3,250,"126.5",2,9.5,NA,NA,"insects","biotic","10mm; 40mm",10,40,25,"0; 1mm","Myrtaceae","Psidium","","Psidium"
"Peter Wilson","Myrtaceae","Psiloxylon","mauritianum","Myrtaceae_Psiloxylon","Psiloxyleae","","fleshy",NA,NA,"",0.6,0.8,NA,NA,"insects","biotic","4.5–5 mm",NA,NA,NA,"2–3 mm ","Myrtaceae","Psiloxylon","mauritianum","Psiloxylon"
"Darin Penneys","Melastomataceae","Pternandra","azurea","Melastomataceae_Pternandra","Melastomatoideae (unless data prove Olisbeoideae)","Pternandreae","fleshy",100,100,"100",0.5,1.25,NA,NA,"insects","biotic","4; 28; 15",NA,NA,NA,"","Melastomataceae","Pternandra","azurea","Pternandra"
"Fabian Michelangeli","Melastomataceae","Pterogastra","divaricata","Melastomataceae_Pterogastra","Melastomatoideae","Melastomateae","dry",100,100,"100",0.8,0.9,NA,NA,"insects","biotic","12; 15",NA,NA,NA,"7; 8","Melastomataceae","Pterogastra","divaricata","Pterogastra"
"Fabian Michelangeli","Melastomataceae","Pterolepis","glomerata","Melastomataceae_Pterolepis","Melastomatoideae","Melastomateae","dry",100,100,"100",0.4,0.5,NA,NA,"insects","biotic","10; 12",NA,NA,NA,"3.5; 5","Melastomataceae","Pterolepis","glomerata","Pterolepis"
"Shirley Graham","Lythraceae","Punica","protopunica","Lythraceae_Punica","","","fleshy",100,1000,"550",4,4.6,1.8,2,"insects, vertebrates","biotic","ca. 2.0 cm",NA,NA,NA,"ca. 2.0 cm, in P. granatum 2-3 cm","Lythraceae","Punica","protopunica","Punica"
"Peter Wilson","Myrtaceae","Purpureostemon","ciliatum","Myrtaceae_Purpureostemon","Xanthostemoneae","","dry",NA,NA,"",4.5,6,NA,NA,"vertebrates","biotic","12–18 mm ",NA,NA,NA,"2.5–3 mm (excl. sepals 4–5 mm)","Myrtaceae","Purpureostemon","ciliatum","Purpureostemon"
"Gustavo Shimizu & Deise Gonçalves","Vochysiaceae","Qualea","parviflora","Vochysiaceae_Qualea","","","Dry",3,30,"16.5",10,45,5,15,"insects","biotic","0.9-7 cm long",9,70,39.5,"not measured","Vochysiaceae","Qualea","parviflora","Qualea"
"Fabian Michelangeli","Melastomataceae","Quipuanthus","epipetricus","Melastomataceae_Quipuanthus","Melastomatoideae","Cyphostyleae","dry",100,100,"100",0.6,1.2,NA,NA,"insects","biotic","14; 17",NA,NA,NA,"5.8; 8.1","Melastomataceae","Quipuanthus","epipetricus","Quipuanthus"
"Fabian Michelangeli","Melastomataceae","Rhexia","virginica","Melastomataceae_Rhexia","Melastomatoideae","Rhexieae","dry",100,100,"100",0.6,0.7,NA,NA,"insects","biotic","10; 18",NA,NA,NA,"6; 7","Melastomataceae","Rhexia","virginica","Rhexia"
NA,NA,NA,NA,"Myrtaceae_Rhodamnia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Myrtaceae","Rhodamnia","cinerea","Rhodamnia"
NA,NA,NA,NA,"Myrtaceae_Rhodomyrtus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Myrtaceae","Rhodomyrtus","tomentosus","Rhodomyrtus"
"Fabian Michelangeli","Melastomataceae","Rhynchanthera","grandiflora","Melastomataceae_Rhynchanthera","Melastomatoideae","Microlicieae","dry",100,100,"100",0.5,0.65,NA,NA,"insects","biotic","15; 25",NA,NA,NA,"5; 6","Melastomataceae","Rhynchanthera","grandiflora","Rhynchanthera"
"Fabian Michelangeli","Penaeaceae","Rhynchocalyx","lawsonioides","Penaeaceae_Rhynchocalyx","","","dry",NA,NA,NA,NA,NA,NA,NA,NA,NA,"n/a",NA,NA,NA,"","Penaeaceae","Rhynchocalyx","lawsonioides","Rhynchocalyx"
"Peter Wilson","Myrtaceae","Rinzia","carnosa","Myrtaceae_Rinzia","Chamelaucieae","Rinziinae","dry",1,3,"",1.4,1.5,NA,NA,"insects","biotic","5.5–7.5 mm",NA,NA,NA,"1–1.25 mm","Myrtaceae","Rinzia","carnosa","Rinzia"
"Peter Wilson","Myrtaceae","Ristantia","gouldii","Myrtaceae_Ristantia","Kanieae","","dry",1,3,"",5,7,NA,NA,NA,NA,"c. 6 mm",NA,NA,NA,"c. 2.5 mm (excluding sepals 1.5 mm long)","Myrtaceae","Ristantia","gouldii","Ristantia"
"Shirley Graham","Lythraceae","Rotala","ramosior","Lythraceae_Rotala","","","dry",30,300,"165",0.3,0.7,0.2,0.4,"insects","biotic","2.5 mm",NA,NA,NA,"3.3-4.5 mm","Lythraceae","Rotala","ramosior","Rotala"
"Darin Penneys","Melastomataceae","Rousseauxia","madagascariensis","Melastomataceae_Rousseauxia","Melastomatoideae","Melastomeae-OW","dry",100,100,"100",0.4,1,NA,NA,"insects","biotic","32; 40; 35",NA,NA,NA,"","Melastomataceae","Rousseauxia","madagascariensis","Rousseauxia"
"Fabian Michelangeli","Melastomataceae","Rupestrea","johnwurdackiana","Melastomataceae_Rupestrea","Melastomatoideae","UNPLACED","dry",3,4,"7.5",3,3.5,NA,NA,"insects","biotic","5.7; 7.7",NA,NA,NA,"2.5; 3","Melastomataceae","Rupestrea","johnwurdackiana","Rupestrea"
"Fabian Michelangeli","Melastomataceae","Salpinga","peruviana","Melastomataceae_Salpinga","Melastomatoideae","Merianieae","dry",50,50,"50",0.7,0.9,NA,NA,"insects","biotic","15; 17",NA,NA,NA,"7","Melastomataceae","Salpinga","peruviana","Salpinga"
"Gustavo Shimizu & Deise Gonçalves","Vochysiaceae","Salvertia","convallariodora","Vochysiaceae_Salvertia","","","Dry",3,3,"3",4,4,10,12,"insects","biotic","1.9-2.6 cm long",19,26,22.5,"not measured","Vochysiaceae","Salvertia","convallariodora","Salvertia"
"Fabian Michelangeli","Melastomataceae","Sandemania","hoehnei","Melastomataceae_Sandemania","Melastomatoideae","Marcetieae","dry",100,100,"100",0.8,0.9,NA,NA,"insects","biotic","3; 5",NA,NA,NA,"2.2; 3","Melastomataceae","Sandemania","hoehnei","Sandemania"
"Peter Wilson","Myrtaceae","Sannantha","crassa","Myrtaceae_Sannantha","Chamelaucieae","Hysterobaeckeinae","dry",NA,NA,"",0.6,0.6,NA,NA,"insects","biotic","to 7 mm",NA,NA,NA,"2–2.5 mm","Myrtaceae","Sannantha","crassa","Sannantha"
"Darin Penneys","Melastomataceae","Sarcopyramis","napalensis","Melastomataceae_Sarcopyramis","Melastomatoideae","Sonerileae","dry",100,100,"100",0.6,1,NA,NA,"insects","biotic","10; 27; 18",NA,NA,NA,"","Melastomataceae","Sarcopyramis","napalensis","Sarcopyramis"
"Peter Wilson","Myrtaceae","Scholtzia","uberiflora","Myrtaceae_Scholtzia","Chamelaucieae","Hysterobaeckeinae","dry",1,1,"",0.8,1.9,NA,NA,"insects","biotic","5–6.5 mm ",NA,NA,NA,"1–1.5 mm","Myrtaceae","Scholtzia","uberiflora","Scholtzia"
"Fabian Michelangeli","Melastomataceae","Schwackaea","cupheoides","Melastomataceae_Schwackaea","Melastomatoideae","Melastomateae","dry",50,50,"50",0.5,0.6,NA,NA,"insects","biotic","5; 7",NA,NA,NA,"7; 8","Melastomataceae","Schwackaea","cupheoides","Schwackaea"
"Peter Wilson","Myrtaceae","Seorsus","clavifolius","Myrtaceae_Seorsus","Chamelaucieae","Astarteinae","dry",5,12,"",1.2,1.4,NA,NA,"insects","biotic","9–12 mm",NA,NA,NA,"1.8–2.5 mm","Myrtaceae","Seorsus","clavifolius","Seorsus"
"Fabian Michelangeli","Melastomataceae","Siphanthera","hostmanii","Melastomataceae_Siphanthera","Melastomatoideae","Marcetieae","dry",100,100,"100",0.45,0.5,NA,NA,"insects","biotic","1.5; 2",NA,NA,NA,"2; 3","Melastomataceae","Siphanthera","hostmanii","Siphanthera"
"Carolyn Proença","Myrtaceae","Siphoneugena","guifoyleana","Myrtaceae_Siphoneugena","Myrteae","Pliniinae","fleshy",1,4,"2.5",7,7,NA,NA,"insects","biotic","3mm; 7mm; 5mm",3,7,5,"1.5; 4mm; 2-3mm","Myrtaceae","Siphoneugena","guifoyleana","Siphoneugena"
"Fabian Michelangeli","Penaeaceae","Sonderothamnus","petraeus","Penaeaceae_Sonderothamnus","","","dry",NA,NA,NA,NA,NA,NA,NA,NA,NA,"n/a",NA,NA,NA,"7; 8","Penaeaceae","Sonderothamnus","petraeus","Sonderothamnus"
"Darin Penneys","Melastomataceae","Sonerila","plagiocardia","Melastomataceae_Sonerila","Melastomatoideae","Sonerileae","dry",50,50,"50",0.4,0.8,NA,NA,"insects","biotic","7; 36; 17",NA,NA,NA,"","Melastomataceae","Sonerila","plagiocardia","Sonerila"
"Shirley Graham","Lythraceae","Sonneratia","","Lythraceae_Sonneratia","","","fleshy",100,1000,"550",5,12,4,10,"vertebrates","biotic","1.5-3.0 cm",NA,NA,NA,"1.5-3.0 cm","Lythraceae","Sonneratia","","Sonneratia"
"Darin Penneys","Melastomataceae","Spathandra","blakeoides","Melastomataceae_Spathandra","Olisbeoideae ","Olisbeoideae","fleshy",1,2,"1.5",2,3,NA,NA,"insects","biotic","5",NA,NA,NA,"","Melastomataceae","Spathandra","blakeoides","Spathandra"
"Peter Wilson","Myrtaceae","Sphaerantia","discolor","Myrtaceae_Sphaerantia","Kanieae","","dry",1,3,"",5,6,NA,NA,NA,NA,"10–12 mm",NA,NA,NA,"c. 4 mm (excluding sepals 1.5–2.5 mm long)","Myrtaceae","Sphaerantia","discolor","Sphaerantia"
"Fabian Michelangeli","Melastomataceae","Stenodon","suberosus","Melastomataceae_Stenodon","Melastomatoideae","Microlicieae","dry",100,100,"100",0.6,0.8,NA,NA,"insects","biotic","20; 30",NA,NA,NA,"6; 7","Melastomataceae","Stenodon","suberosus","Stenodon"
"Peter Wilson","Myrtaceae","Stenostegia","congesta","Myrtaceae_Stenostegia","Chamelaucieae","Stenostegiinae","dry",6,9,"",0.6,0.6,NA,NA,"insects","biotic","5 mm",NA,NA,NA,"1.8–2 mm","Myrtaceae","Stenostegia","congesta","Stenostegia"
"Andrew Thornhill","Myrtaceae","Stockwellia","quadrifida","Myrtaceae_Stockwellia","Eucalypteae","Mesicalypt (as per Thornhill et al. 2019)","Dry",NA,NA,NA,8,11,5,6,"insects","biotic","4",NA,NA,NA,"","Myrtaceae","Stockwellia","quadrifida","Stockwellia"
"Olivier Maurin, Ian Turner","Combretaceae","Strephonema","mannii","Combretaceae_Strephonema","Strephonematoideae","","fleshy",1,1,"1",50,70,NA,NA,"insects","biotic","0,4; 0,8",NA,NA,NA,"3 mm","Combretaceae","Strephonema","mannii","Strephonema"
"Fabian Michelangeli","Penaeaceae","Stylapterus","micranthus","Penaeaceae_Stylapterus","","",NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,"","Penaeaceae","Stylapterus","micranthus","Stylapterus"
"Darin Penneys","Melastomataceae","Styrophyton","caudatum","Melastomataceae_Styrophyton","Melastomatoideae","Sonerileae","dry",100,100,"100",0.6,0.7,NA,NA,"insects","biotic","3; 3; 3",NA,NA,NA,"","Melastomataceae","Styrophyton","caudatum","Styrophyton"
"Fabian Michelangeli","Melastomataceae","Svitramia","wurdackiana","Melastomataceae_Svitramia","Melastomatoideae","Melastomateae","dry",100,100,"100",0.6,0.6,0.6,0.6,"insects","biotic","13; 16",NA,NA,NA,"4; 5","Melastomataceae","Svitramia","wurdackiana","Svitramia"
"Peter Wilson","Myrtaceae","Syncarpia","glomulifera","Myrtaceae_Syncarpia","Syncarpieae","","dry",NA,NA,"",1.5,3,NA,NA,"insects, vertebrates","biotic","9–12 mm",NA,NA,NA,"2–2.5 mm","Myrtaceae","Syncarpia","glomulifera","Syncarpia"
"Yee Wen Low","Myrtaceae","Syzygium","acuminatissimum","Myrtaceae_Syzygium","Syzygieae","subgenus Acmena, sect. Acmena","Fleshy",1,1,"1",NA,10,NA,NA,"Insects","biotic","4; 5",NA,NA,NA,"10mm; 15mm","Myrtaceae","Syzygium","acuminatissimum","Syzygium"
