Expert,Family,Genus,Species,match_to_tree,Major.Group,Minor.Group,fm_scoring_fruit,seed.min,seed.max,fm_scoring_seed_number,seed.length.min,seed.length.max,seed.width.min,seed.width.max,fm_scoring_pollination1,fm_scoring_pollination2,Corolla.diameter..min...max...prevalent.,Corolla.diameter.min,Corolla.diameter.max,fm_scoring_corolla_diam,Hypanthium.length..min...max...prevalent.,Family.y,Genus.y,Species.y
Fabian Michelangeli,Melastomataceae,Tococa,guianensis,Melastomataceae_Tococa_guianensis,Melastomatoideae,Miconieae,fleshy,100,100,100,0.6,1.2,NA,NA,insects,biotic,6.5; 15; 11,NA,NA,NA,5; 7.5,Melastomataceae,Tococa,guianensis
Shirley Graham,Lythraceae,Trapa,natans,Lythraceae_Trapa_natans,,,fleshy,1,1,1,10,20,10,20,insects,biotic,3.5 cm,NA,NA,NA,2.5-3.5 cm,Lythraceae,Trapa,natans
Fabian Michelangeli,Melastomataceae,Trembleya,parviflora,Melastomataceae_Trembleya_parviflora,Melastomatoideae,Microlicieae,dry,100,100,100,0.7,0.8,NA,NA,insects,biotic,5; 7,NA,NA,NA,2.5,Melastomataceae,Trembleya,parviflora
Fabian Michelangeli,Melastomataceae,Triolena,amazonica,Melastomataceae_Triolena_amazonica,Melastomatoideae,Trioleneae,dry,100,100,100,0.45,0.6,NA,NA,insects,biotic,6; 7,NA,NA,NA,4; 5,Melastomataceae,Triolena,amazonica
Peter Wilson,Myrtaceae,Triplarina,paludosa,Myrtaceae_Triplarina_paludosa,Chamelaucieae,Rinziinae,dry,6,9,,0.5,0.8,NA,NA,insects,biotic,4.5–5 mm,NA,NA,NA,1.3–1.4 mm,Myrtaceae,Triplarina,paludosa
Peter Wilson,Myrtaceae,Tristaniopsis,whiteana,Myrtaceae_Tristaniopsis_whiteana,Kanieae,,dry,4,12,,2,5,NA,NA,NA,NA,1–3 mm,NA,NA,NA,1–2 mm,Myrtaceae,Tristaniopsis,whiteana
Darin Penneys,Melastomataceae,Tristemma,mauritianum,Melastomataceae_Tristemma_mauritianum,Melastomatoideae,Melastomeae-OW,fleshy,100,100,100,0.2,0.6,NA,NA,insects,biotic,5; 33; 20,NA,NA,NA,,Melastomataceae,Tristemma,mauritianum
Fabian Michelangeli,Melastomataceae,Tryssophyton,merumense,Melastomataceae_Tryssophyton_merumense,Melastomatoideae,Sonerileae,dry,50,50,50,0.5,0.6,NA,NA,insects,biotic,11; 13,NA,NA,NA,2; 2.5,Melastomataceae,Tryssophyton,merumense
NA,NA,NA,NA,Myrtaceae_Ugni_myricoides,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Myrtaceae,Ugni,myricoides
NA,NA,NA,NA,Myrtaceae_Uromyrtus_artensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Myrtaceae,Uromyrtus,
Peter Wilson,Myrtaceae,Verticordia,huegelii,Myrtaceae_Verticordia_huegelii,Chamelaucieae,Chamelauciinae,dry,1,1,,1,1,NA,NA,NA,NA,3–4 mm,NA,NA,NA,2–4 mm,Myrtaceae,Verticordia,huegelii
Gustavo Shimizu & Deise Gonçalves,Vochysiaceae,Vochysia,guianensis,Vochysiaceae_Vochysia_guianensis,,,Dry,3,3,3,15,35,5,12,insects,biotic,0.4-3.5 cm long,4,35,19.5,not measured,Vochysiaceae,Vochysia,guianensis
Fabian Michelangeli,Melastomataceae,Votomita,guianensis,Melastomataceae_Votomita_guianensis,Olisbeoideae,Olisbeoideae-NW,fleshy,1,1,1,6.5,6.5,6.5,6.5,insects,biotic,5; 6.5,NA,NA,NA,3; 4,Melastomataceae,Votomita,guianensis
Fabian Michelangeli,Melastomataceae,Warneckea,,Melastomataceae_Warneckea_,Olisbeoideae,Olisbeoideae-OW,NA,NA,NA,NA,NA,NA,NA,NA,insects,biotic,,NA,NA,NA,,Melastomataceae,Warneckea,
Peter Wilson,Myrtaceae,Welchiodendron,longivalve,Myrtaceae_Welchiodendron_longivalve,Lophostemoneae,,dry,NA,NA,,6,8,NA,NA,NA,NA,20–25 mm ,NA,NA,NA,1–2 mm,Myrtaceae,Welchiodendron,longivalve
Peter Wilson,Myrtaceae,Whiteodendron,moultonianum,Myrtaceae_Whiteodendron_moultonianum,Lophostemoneae,,dry,1,1,,12,12,NA,NA,NA,NA,c. 23–28 mm,NA,NA,NA,3–4 mm,Myrtaceae,Whiteodendron,moultonianum
Shirley Graham,Lythraceae,Woodfordia,fruticosa,Lythraceae_Woodfordia_fruticosa,,,dry,50,50,50,0.7,1,0.2,0.3,"insects, vertebrates",biotic,3-4 mm,NA,NA,NA,15-17 mm,Lythraceae,Woodfordia,fruticosa
Fabian Michelangeli,Melastomataceae,Wurdastom,hexamera,Melastomataceae_Wurdastom_hexamera,Melastomatoideae,Cyphostyleae,dry,100,100,100,0.5,0.6,NA,NA,insects,biotic,4; 5,NA,NA,NA,3,Melastomataceae,Wurdastom,hexamera
Peter Wilson,Myrtaceae,Xanthomyrtus,,Myrtaceae_Xanthomyrtus_compacta,Tristanieae,,fleshy,NA,NA,,1,1.5,NA,NA,insects,biotic,c. 11–13,NA,NA,NA,2–2.5 mm,Myrtaceae,Xanthomyrtus,
NA,NA,NA,NA,Melastomataceae_Brasilianthus_carajensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Melastomataceae_Physeterostemon_gomesii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Myrtaceae_Pimenta_dioica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Myrtaceae_Xanthostemon_aurantiacus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Onagraceae_Camissoniopsis_cheiranthifolia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Onagraceae_Taraxia_tanacetifolia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
