Family,Genus,Species,tip_tree,tip_name
Melastomataceae,Eriocnema,fulva,Eriocnema_fulva,Ericomyrtus_serpyllifolia5545
Myrtaceae,Ericomyrtus,serpyllifolia,Ericomyrtus_serpyllifolia,Ericomyrtus_serpyllifolia
Onagraceae,Eremothera,pygmaea,Eremothera_pygmaea,Eremothera_pygmaea
Onagraceae,Epilobium,parviflorum,Epilobium_parviflorum,DROP
Onagraceae,Epilobium,canum,Epilobium_canum_subsp_mexicanum,Epilobium_canum_subsp_mexicanum
Myrtaceae,Enekbatus,cryptandroides,Enekbatus_cryptandroides,Enekbatus_cryptandroides
Penaeaceae,Endonema,retzioides,Endonema_retzioides,Endonema_retzioides
Lythraceae,Duabanga,grandiflora,Duabanga_grandiflora,Duabanga_grandiflora
Melastomataceae,Dolichoura,spiritusanctensis,Dolichoura_spiritusanctensis,Dolichoura_spiritusanctensis
Melastomataceae,Dissotis,multiflora,Dissotis_multiflora,Dissotis_multiflora
Melastomataceae,Dissochaeta,divaricata,Dissochaeta_divaricata,DROP
Melastomataceae,Dissochaeta,celebica,Dissochaeta_celebica,DROP
Melastomataceae,Dissochaeta,biligulata,Dissochaeta_biligulata,DROP
Melastomataceae,Dissochaeta,annulata,Dissochaeta_annulata,DROP
Melastomataceae,Dissochaeta,annulata,Dissochaeta_annulata,DROP
Lythraceae,Diplusodon,lanceolatus,Diplusodon_lanceolatus,Diplusodon_lanceolatus
Lythraceae,Didiplis,diandra,Didiplis_diandra,Didiplis_diandra
Melastomataceae,Dicrananthera,hedyotidea,Dicrananthera_hedyotidea,Dicrananthera_hedyotidea
Melastomataceae,Dicellandra,barteri,Dicellandra_barteri,Dicellandra_barteri
Melastomataceae,Desmoscelis,villosa,Desmoscelis_villosa,Desmoscelis_villosa
Lythraceae,Decodon,verticillatus,Decodon_verticillatus,Decodon_verticillatus
Myrtaceae,Decaspermum,fruticosum,Decaspermum_fruticosum,Decaspermum_fruticosum
Myrtaceae,Darwinia,speciosa,Darwinia_speciosa,Darwinia_speciosa
Combretaceae,Dansiea,elliptica,Dansiea_elliptica,Dansiea_elliptica
Melastomataceae,Cyphotheca,montana,Cyphotheca_montana,Cyphotheca_montana
Myrtaceae,Cyathostemon,ambiguus,Cyathostemon_ambiguus,Cyathostemon_ambiguus
Myrtaceae,Curitiba,prismatica,Curitiba_prismatica,Curitiba_prismatica
Lythraceae,Cuphea,hyssopifolia,Cuphea_hyssopifolia,Cuphea_hyssopifolia
Lythraceae,Crenea,maritima,Crenea_maritima,Crenea_maritima
Myrtaceae,Corynanthera,flava,Corynanthera_flava,Corynanthera_flava
Myrtaceae,Corymbia,ficifolia,Corymbia_ficifolia,Corymbia_ficifolia
Myrtaceae,Conothamnus,aureus,Conothamnus_aureus,Conothamnus_aureus
Melastomataceae,Conostegia,icosandra,Conostegia_icosandra,Conostegia_icosandra
Combretaceae,Conocarpus,erectus,Conocarpus_erectus,Conocarpus_erectus
Melastomataceae,Comolia,lythrarioides,Comolia_lythrarioides,Comolia_lythrarioides
Combretaceae,Combretum,molle,Combretum_molle,Combretum_molle
Myrtaceae,Cloezia,buxifolia,Cloezia_buxifolia,Cloezia_buxifolia
Onagraceae,Clarkia,purpurea,Clarkia_purpurea,Clarkia_purpurea
Melastomataceae,Cincinnobotrys,felicis,Cincinnobotrys_felicis,Cincinnobotrys_felicis
Onagraceae,Chylismia,claviformis,Chylismia_claviformis,Chylismia_claviformis
Myrtaceae,Cheyniana,microphylla,Cheyniana_microphylla,Cheyniana_microphylla
Melastomataceae,Charianthus,purpureus,Charianthus_purpureus,Charianthus_purpureus
Myrtaceae,Chamguava,schipii,Chamguava_schipii,Chamguava_schipii
Myrtaceae,Chamelaucium,uncinatum,Chamelaucium_uncinatum,Chamelaucium_uncinatum
Melastomataceae,Chalybea,macrocarpa,Chalybea_macrocarpa,Chalybea_macrocarpa
Melastomataceae,Chaetostoma,pungens,Chaetostoma_pungens,Chaetostoma_pungens
Melastomataceae,Chaetolepis,lindeniana,Chaetolepis_lindeniana,Chaetolepis_lindeniana
Melastomataceae,Centronia,laurifolia,Centronia_laurifolia,Centronia_laurifolia
Melastomataceae,Centradenia,floribunda,Centradenia_floribunda,Centradenia_floribunda
Melastomataceae,Catocoryne,linnaeoides,Catocoryne_linnaeoides,Catocoryne_linnaeoides
Melastomataceae,Castratella,piloselloides,Castratella_piloselloides,Castratella_piloselloides
Lythraceae,Capuronia,benoistii,Capuronia_benoistii,Capuronia_benoistii
Myrtaceae,Calytrix,leschenaultii,Calytrix_leschenaultii,Calytrix_leschenaultii
Myrtaceae,Calycolpus,goetheanus,Calycolpus_goetheanus,Calycolpus_goetheanus
Melastomataceae,Calycogonium,rosmarinifolium,Calycogonium_rosmarinifolium,Calycogonium_rosmarinifolium
Melastomataceae,Calvoa,crassinoda,Calvoa_crassinoda,Calvoa_crassinoda
Vochysiaceae,Callisthene,microphylla,Callisthene_microphylla,Callisthene_microphylla
Melastomataceae,Bucquetia,glutinosa,Bucquetia_glutinosa,Bucquetia_glutinosa
Melastomataceae,Bredia,okinawensis,Bredia_okinawensis,Bredia_okinawensis
Penaeaceae,Brachysiphon,fucatus,Brachysiphon_fucatus,Brachysiphon_fucatus
Melastomataceae,Boyania,ayangannae,Boyania_ayangannae,Boyania_ayangannae
Myrtaceae,Blepharocalyx,salicifolia,Blepharocalyx_salicifolia,Blepharocalyx_salicifolia
Melastomataceae,Blastus,borneensis,Blastus_borneensis,Blastus_borneensis
Melastomataceae,Blakea,schlimii,Blakea_schlimii,Blakea_schlimii
Melastomataceae,Bellucia,pentamera,Bellucia_pentamera,Bellucia_pentamera
Melastomataceae,Behuria,glutinosa,Behuria_glutinosa,Behuria_glutinosa
Melastomataceae,Beccarianthus,pulcherrimus,Beccarianthus_pulcherrimus,Beccarianthus_pulcherrimus
Myrtaceae,Beaufortia,squarrosa,Beaufortia_squarrosa,Beaufortia_squarrosa
Myrtaceae,Basisperma,lanceolata,Basisperma_lanceolata,Basisperma_lanceolata
Melastomataceae,Barthea,barthei,Barthea_barthei,Barthea_barthei
Myrtaceae,Barongia,lophandra,Barongia_lophandra,Barongia_lophandra
Myrtaceae,Balaustion,pulcherrimum,Balaustion_pulcherrimum,Balaustion_pulcherrimum
