"","(Intercept)","CHELSA_bio10_02","CHELSA_bio10_11","CHELSA_bio10_17","depthtobedrock2","Dry.or.Fleshy.Fruit","GLOBAL_SLOPE_10MIN","main_habitat","Mean.Corolla.Diameter","Mean.Seed.Length","Mean.Seed.Number.per.Fruit","meancarbon","meanpH","meanwatercap","Most.Common.Life.Form","df","logLik","AICc","delta","weight","rsqs"
"9589",-4.7647356274597,NA,NA,0.463253054071055,NA,"+",-0.0119871036497513,"+",NA,0.0442741721227438,NA,-0.589563544287381,NA,NA,"+",9,-382.351893390713,783.537120114758,22.6039625970828,1.51114640845386e-07,0.087
"14361",-31.8335262685385,NA,NA,NA,1.79214565118955,"+",NA,NA,NA,NA,NA,NA,3.76393115138396,0.967248644455237,"+",7,-384.51244242242,783.538646312729,22.6054887950535,1.50999369403644e-07,0.069
"10529",-16.4416648137208,NA,NA,NA,NA,NA,-0.119486184773119,NA,NA,0.123209089601187,NA,NA,2.90520207119881,NA,"+",6,-385.577861268808,783.539284181452,22.6061266637762,1.50951218195143e-07,0.061
"13477",-3.61243911849962,NA,NA,0.427190657398487,NA,NA,-0.0430855179799802,NA,0.073253767297643,NA,NA,-0.567948945897869,NA,-0.355016418269519,"+",8,-383.438953664409,783.541501798865,22.6083442811893,1.50783934929856e-07,0.078
"10282",-19.1948854852363,0.71020376151894,NA,NA,1.07579004390321,NA,-0.0275481518673183,NA,NA,NA,NA,NA,1.50514762890822,NA,"+",7,-384.515313349379,783.544388166648,22.6112306489728,1.50566482933182e-07,0.069
"13405",-2.31883308166735,NA,NA,0.476454231465321,-0.24427590995427,"+",NA,"+",NA,NA,NA,-0.548088101684704,NA,-0.476295637303134,"+",9,-382.355957374807,783.545248082947,22.6120905652714,1.50501759561999e-07,0.087
"6096",32.0605167998885,1.42402366850451,-7.76246114632494,0.640738244869559,0.25792243321,NA,NA,"+",0.126388560053361,0.105014755279519,0.0696313471829206,-0.468067899416141,NA,-0.432265299787801,NA,12,-379.046159299125,783.557107330644,22.6239498129681,1.49611981371349e-07,0.113
"9740",23.9568261533507,0.938510560030792,-7.04481751229487,NA,1.36522324866037,NA,NA,NA,NA,NA,0.0990880726155094,0.0495633902387006,NA,NA,"+",8,-383.447618779057,783.55883202816,22.6256745104841,1.49483019278173e-07,0.078
"15362",-16.0897910682148,0.87765006106387,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.200781289313153,1.72978766343777,0.0762556082637499,"+",7,-384.52594457759,783.565650623071,22.6324931053953,1.48974254958142e-07,0.069
"13346",-10.9787217950893,1.17000177370867,NA,NA,NA,NA,-0.193375756355171,NA,NA,NA,NA,0.227406269278735,NA,0.226933542666786,"+",7,-384.527003000048,783.567767467986,22.6346099503105,1.48816660676463e-07,0.069
"4167",90.8796998686931,NA,-15.75260643984,0.442063652911802,NA,NA,NA,"+",NA,NA,NA,NA,NA,-2.73027786411578,NA,6,-385.593068906087,783.56969945601,22.6365419383345,1.4867297408473e-07,0.06
"9637",-4.45566598234927,NA,NA,0.422419150215713,NA,NA,-0.0467475377202771,NA,0.0674238977738035,0.0214822264955063,NA,-0.606568219309107,NA,NA,"+",8,-383.453519298185,783.570633066415,22.6374755487399,1.48603588962858e-07,0.078
"13701",-3.42379711022176,NA,NA,0.429795325210082,NA,NA,NA,NA,0.0678338356464189,0.0218992215603503,NA,-0.594168315612266,NA,-0.388376979439745,"+",8,-383.453547057132,783.57068858431,22.6375310666346,1.48599463940911e-07,0.078
