tip,to_drop
Myrtaceae_Myrcia_albotomentosa,x
Myrtaceae_Myrcia_amazonica,x
Myrtaceae_Myrcia_bicarinata,x
Myrtaceae_Myrcia_eriocalyx_Gomidesia,x
Myrtaceae_Myrcia_guianensis,x
Myrtaceae_Myrcia_loranthifolia_Calyptranthes,x
Myrtaceae_Myrcia_mutabilis,x
Myrtaceae_Myrcia_neovelutina,x
Myrtaceae_Myrcia_psilophylla,x
Myrtaceae_Myrcia_pubipetala,x
Myrtaceae_Myrcia_reticulosa,x
Myrtaceae_Myrcia_saxatilis,x
Myrtaceae_Myrcia_spectabilis,x
Myrtaceae_Myrcia_splendens,x
Myrtaceae_Myrcia_splendens_rostrata_form,x
Myrtaceae_Myrcia_tomentosa,keep
Myrtaceae_Myrcianthes_fragrans,keep
Myrtaceae_Myrciaria_disticha,keep
Myrtaceae_Myrrhinium_atropurpureum,keep
Myrtaceae_Myrtastrum_rufopunctatum,keep
Myrtaceae_Myrtella_beccarii,keep
Myrtaceae_Myrteola_acerosa,keep
Myrtaceae_Myrtus_communis,keep
Myrtaceae_Neofabricia_myrtifolia,keep
Myrtaceae_Neomitranthes_cordifolia,keep
Myrtaceae_Ochrosperma_lineare,keep
Myrtaceae_Octamyrtus_pleiopetala,keep
Myrtaceae_Oxymyrrhine_gracilis_Baeckea,keep
Myrtaceae_Pericalymma_spongiocaule,keep
Myrtaceae_Pileanthus_limacis,keep
Myrtaceae_Pilidiostigma_tropicum,keep
Myrtaceae_Pimenta_dioica,keep
Myrtaceae_Pimenta_pseudocaryophyllus,keep
Myrtaceae_Pleurocalyptus_pancheri,keep
Myrtaceae_Plinia_complanata,x
Myrtaceae_Plinia_pinnata,keep
Myrtaceae_Pseudanamomis_umbellulifera,keep
Myrtaceae_Psidium_sp,keep
Myrtaceae_Psiloxylon_mauritianum,keep
Myrtaceae_Purpureostemon_ciliatum,keep
Myrtaceae_Rhodamnia_cinerea,keep
Myrtaceae_Rhodomyrtus_tomentosus,keep
Myrtaceae_Rhodomyrtus_tomentosus2,x
Myrtaceae_Rinzia_carnosa,keep
Myrtaceae_Ristantia_gouldii,keep
Myrtaceae_Sannantha_crassa,keep
Myrtaceae_Sannantha_virgata_Harmogia,x
Myrtaceae_Scholtzia_uberiflora,keep
Myrtaceae_Seorsus_clavifolius_Astartea,keep
Myrtaceae_Siphoneugena_guilfoyleiana,keep
Myrtaceae_Sphaerantia_discolor,keep
Myrtaceae_Stenostegia_congesta,keep
Myrtaceae_Stockwellia_quadrifida,keep
Myrtaceae_Syncarpia_glomulifera,keep
Myrtaceae_Syzygium_acuminatissimum_Acmena,keep
Myrtaceae_Syzygium_acuminatissimum2_Acmena,x
Myrtaceae_Syzygium_anisatum_Anetholea,x
Myrtaceae_Syzygium_jambos,x
Myrtaceae_Syzygium_nervosum,x
Myrtaceae_Syzygium_nervosum_Cleistocalyx,x
Myrtaceae_Syzygium_sp_nov,x
Myrtaceae_Syzygium_unipunctatum_Waterhousea,x
Myrtaceae_Taxandria_,keep
Myrtaceae_Tetrapora_preissiana_Baeckea,keep
Myrtaceae_Thaleropia_queenslandica,keep
Myrtaceae_Thryptomene_australis,keep
Myrtaceae_Triplarina_paludosa,keep
Myrtaceae_Tristaniopsis_whiteana,keep
Myrtaceae_Ugni_myricoides,keep
Myrtaceae_Uromyrtus_artensis,keep
Myrtaceae_Verticordia_huegelii,keep
Myrtaceae_Welchiodendron_longivalve,keep
Myrtaceae_Whiteodendron_moultonianum,keep
Myrtaceae_Xanthomyrtus_compacta,keep
Myrtaceae_Xanthomyrtus_montivaga,x
Myrtaceae_Xanthostemon_aurantiacus,keep
Onagraceae_Camissonia_strigulosa,keep
Onagraceae_Camissoniopsis_cheiranthifolia,keep
Onagraceae_Chamaenerion_latifolium,keep
Onagraceae_Chylismia_claviformis_Camissonia,keep
Onagraceae_Clarkia_purpurea,keep
Onagraceae_Epilobium_canum_subsp_Mexicanum_Zauschneria,keep
Onagraceae_Epilobium_parviflorum,x
Onagraceae_Epilobium_subdentatum,x
Onagraceae_Eremothera_pygmaea_Camissonia,keep
Onagraceae_Eulobus_californicus_Oenothera,keep
Onagraceae_Fuchsia_excorticata,keep
Onagraceae_Gayophytum_diffusum_Camissonia,keep
Onagraceae_Gongylocarpus_rubricaulis,keep
Onagraceae_Lopezia_hirsuta,keep
Onagraceae_Ludwigia_octovalvis,keep
Onagraceae_Neoholmgrenia_andina_Camissonia,keep
Onagraceae_Oenothera_glazioviana,keep
Onagraceae_Taraxia_tanacetifolia,keep
Onagraceae_Tetrapteron_palmeri_Camissonia,keep
Penaeaceae_Brachysiphon_fucatus,keep
Penaeaceae_Endonema_retzioides,keep
Penaeaceae_Glischrocolla_formosa,keep
Penaeaceae_Olinia_,keep
Penaeaceae_Penaea_mucronata,keep
Penaeaceae_Rhynchocalyx_lawsonioides,keep
Penaeaceae_Sonderothamnus_petraeus,keep
Penaeaceae_Stylapterus_micranthus,keep
Vochysiaceae_Callisthene_fasciculata,x
Vochysiaceae_Callisthene_microphylla,keep
Vochysiaceae_Erisma_arietinum,keep
Vochysiaceae_Erisma_bracteosum,x
Vochysiaceae_Erismadelphus_exsul,keep
Vochysiaceae_Korupodendron_songweanum,keep
Vochysiaceae_Qualea_cryptantha,keep
Vochysiaceae_Qualea_grandiflora,x
Vochysiaceae_Qualea_hannekesaskiarum,x
Vochysiaceae_Ruizterania_belemnensis,x
Vochysiaceae_Ruizterania_esmeraldae,x
Vochysiaceae_Salvertia_convallariodora,keep
Vochysiaceae_Vochysia_guianensis,keep
Vochysiaceae_Vochysia_rufa,x
Vochysiaceae_Vochysia_sessilifolia,x
